Orden,Preparación,Calidad,QQs Netos,Línea,Fecha,Turno,Analista,Operador,Hora,"% entrada
(Trillo)",Def. Prim.,Def. Dens.,Def. Otros,Total Def.,% de salida,Def. Prim.,Def. Dens.,Def. Otros,Total Def.,% de salida,Def. Prim.,Def. Dens.,Def. Otros,Total Def.,% de salida,Observaciones,Prom % de salida,Prom % de Pérdida,Vueltas Ponderadas
X Z 1/29,Love 10,SPop B, 604.80 ,Línea 1,12/3/2020,Turno 1,Selenio,Carlos,12:00 p. m.,10.00%,13.00,0.00,18.80,31.80,5.67%,7.00,0.00,15.00,22.00,5.00%,26.00,0.40,42.00,68.40,12.67%,,6%,37.98%,3.402309913
X Z 1/29,Love 10,SPop B, 604.80 ,Línea 1,12/3/2020,Turno 1,Selenio,Carlos,02:00 p. m.,8.00%,8.00,0.00,9.00,17.00,3.00%,3.00,0.40,13.60,17.00,4.67%,21.00,1.20,40.00,62.20,11.40%,,4%,46.78%,3.402309913
X Z 1/30,Love 16,Lift ," 1,013.64 ",Línea 1,12/10/2020,Turno 1,Juan S.,Carlos,02:00 p. m.,10.00%,24.00,1.80,7.00,32.80,4.33%,17.00,1.20,10.40,28.60,4.60%,22.00,4.00,35.00,61.00,12.00%,,5%,48.36%,5.186918223
X Z 1/30,Love 16,Lift ," 1,013.64 ",Línea 1,12/10/2020,Turno 1,Juan S.,Carlos,07:00 a. m.,8.20%,20.00,1.80,16.00,37.80,7.00%,17.00,2.00,14.00,33.00,6.00%,39.00,4.80,33.40,77.20,13.70%,,7%,9.51%,5.186918223
X Z 1/30,Love 16,Lift ," 1,013.64 ",Línea 1,12/10/2020,Turno 1,Juan S.,Carlos,09:00 a. m.,17.00%,42.00,1.20,7.00,50.20,5.33%,19.00,0.80,21.00,40.80,8.23%,65.00,7.80,51.00,123.80,21.90%,,8%,54.64%,5.186918223
X Z 1/30,Love 16,Lift ," 1,013.64 ",Línea 1,12/10/2020,Turno 1,Juan S.,Carlos,11:00 a. m.,14.00%,4.00,0.00,6.40,10.40,3.00%,10.00,0.40,99.60,110.00,4.47%,33.00,2.00,18.40,53.40,8.40%,,4%,72.09%,5.186918223
X Z 1/31,Love 16,Lift , 492.32 ,Línea 2,12/10/2020,Turno 1,Juan S.,Jose C.,02:00 p. m.,18.00%,28.00,0.80,16.00,44.80,7.00%,13.00,0.00,12.00,25.00,4.33%,42.00,1.00,43.60,86.60,13.10%,,7%,61.43%,8
X Z 1/31,Love 16,Lift , 492.32 ,Línea 2,12/11/2020,Turno 1,Juan S.,Jose C.,07:00 a. m.,16.20%,14.00,0.00,10.20,24.20,4.47%,20.00,0.00,12.20,32.20,5.60%,89.00,0.60,36.80,126.40,15.01%,,6%,64.16%,8
X Z 1/31,Love 16,Lift , 492.32 ,Línea 2,12/11/2020,Turno 1,Juan S.,Jose C.,09:00 a. m.,17.00%,19.00,0.60,13.80,33.40,6.00%,24.00,0.60,24.00,48.60,9.37%,132.00,3.00,81.00,216.00,28.00%,,9%,46.81%,8
X Z 1/33,Love 16,SPop B," 1,015.20 ",Línea 1,12/11/2020,Turno 1,Juan S.,Carlos,07:00 a. m.,12.20%,15.00,1.80,15.00,31.80,5.70%,15.00,1.20,8.20,24.40,4.66%,30.00,1.20,30.40,61.60,10.90%,,6%,51.15%,3
X Z 1/33,Love 16,SPop B," 1,015.20 ",Línea 1,12/11/2020,Turno 1,Juan S.,Carlos,09:00 a. m.,8.60%,18.00,1.00,14.00,33.00,5.16%,3.00,0.40,13.00,16.40,4.33%,20.00,5.40,28.00,53.40,10.33%,,5%,36.40%,3
X Z 1/33,Love 16,SPop B," 1,015.20 ",Línea 1,12/11/2020,Turno 1,Juan S.,Carlos,11:00 a. m.,9.20%,17.00,1.00,16.80,34.80,6.00%,4.00,0.00,14.00,18.00,4.40%,27.00,4.80,35.40,67.20,12.30%,,6%,32.28%,3
X Z 1/35,Popular,SPop A," 1,132.86 ",Línea 1,12/12/2020,Turno 1,Juan S.,Carlos,08:30 a. m.,7.40%,10.00,0.00,8.00,18.00,9.00%,8.00,0.00,9.20,17.20,2.33%,7.00,2.80,20.00,29.80,7.13%,,7%,3.44%,9.095949879
