Orden,Preparación,Calidad,QQs Netos,Línea,Fecha,Turno,Analista,Operador,Hora,"% entrada
(Trillo)",Def. Prim.,Def. Dens.,Def. Otros,Total Def.,% de salida,Def. Prim.,Def. Dens.,Def. Otros,Total Def.,% de salida,Def. Prim.,Def. Dens.,Def. Otros,Total Def.,% de salida,Observaciones,Prom % de salida,Prom % de Pérdida,Vueltas Ponderadas
X Z 1/98,SPop,Lapa B," 1,605.92 ",Línea 1,1/21/2021,Turno 1,Helton,Carlos,09:00 a. m.,12.00%,8.00,0.00,8.00,16.00,3.06%,10.00,0.40,6.00,16.40,3.20%,18.00,1.60,14.00,33.60,5.80%,,3%,71.93%,2.583402503
X Z 1/96,SPop,SPop B," 3,156.81 ",Línea 2,1/21/2021,Turno 1,Helton,Jose C.,06:00 a. m.,10.00%,9.00,0.00,6.00,15.00,3.40%,4.00,0.00,10.80,14.80,3.67%,32.00,2.00,26.00,60.00,9.83%,,4%,58.90%,4.225510764
X Z 1/96,SPop,SPop B," 3,156.81 ",Línea 2,1/21/2021,Turno 1,Helton,Jose C.,08:00 a. m.,10.00%,6.00,0.00,5.00,11.00,2.00%,3.00,0.00,6.00,9.00,2.80%,20.00,1.20,14.00,35.20,6.00%,,3%,74.00%,4.225510764
X Z 1/96,SPop,SPop B," 3,156.81 ",Línea 2,1/21/2021,Turno 1,Helton,Jose C.,10:00 a. m.,7.50%,5.00,0.00,4.00,9.00,1.80%,12.00,0.00,6.00,18.00,3.20%,36.00,1.10,18.00,55.10,8.46%,,3%,62.45%,4.225510764
X Z 1/96,SPop,SPop B," 3,156.81 ",Línea 2,1/21/2021,Turno 1,Helton,Jose C.,12:00 p. m.,9.20%,4.00,0.00,10.00,14.00,3.67%,16.00,0.80,10.00,26.80,4.20%,36.00,2.40,38.00,76.40,13.80%,,5%,47.66%,4.225510764
X Z 1/100,Love 23,Lift Leve," 3,979.63 ",Línea 1,1/21/2021,Turno 1,Helton,Carlos,02:10 p. m.,10.00%,3.00,0.20,5.40,8.60,2.00%,9.00,0.00,6.00,15.00,2.20%,24.00,0.40,18.00,42.40,6.73%,,3%,74.77%,1.940886496
X Z 1/100,Love 23,Lift Leve," 3,979.63 ",Línea 1,1/21/2021,Turno 2,Angel,Noel Perez,04:00 p. m.,4.00%,8.00,0.40,12.40,20.80,4.13%,8.00,0.00,10.40,18.40,3.53%,20.00,0.00,22.00,42.00,7.06%,,4%,-6.83%,1.940886496
X Z 1/100,Love 23,Lift Leve," 3,979.63 ",Línea 1,1/21/2021,Turno 2,Angel,Noel Perez,06:00 p. m.,6.90%,4.00,0.00,8.00,12.00,2.66%,2.00,0.00,10.00,12.00,2.93%,10.00,0.00,39.20,49.20,11.20%,,4%,48.09%,1.940886496
X Z 1/100,Love 23,Lift Leve," 3,979.63 ",Línea 1,1/21/2021,Turno 2,Angel,Noel Perez,08:00 p. m.,5.40%,2.00,0.00,12.00,14.00,3.33%,4.00,0.00,9.20,13.20,3.06%,18.00,0.40,29.20,47.60,8.73%,,4%,29.58%,1.940886496
X Z 1/100,Love 23,Lift Leve," 3,979.63 ",Línea 1,1/21/2021,Turno 2,Angel,Noel Perez,10:00 p. m.,5.30%,2.00,0.80,12.40,15.20,3.66%,3.00,0.00,9.80,12.80,2.90%,4.00,1.20,25.20,30.40,7.26%,,4%,27.74%,1.940886496
X Z 1/100,Love 23,Lift Leve," 3,979.63 ",Línea 1,1/21/2021,Turno 3,Erick,Jose Reyes,12:00 p. m.,4.60%,2.00,0.00,5.00,7.00,1.66%,4.00,0.20,4.20,8.40,1.83%,19.00,1.40,17.20,37.60,6.36%,,2%,52.77%,1.940886496
X Z 1/100,Love 23,Lift Leve," 3,979.63 ",Línea 1,1/21/2021,Turno 3,Erick,Jose Reyes,02:00 a. m.,5.40%,3.00,0.80,3.00,6.80,1.66%,3.00,0.00,4.00,7.00,1.66%,11.00,0.60,8.60,20.20,3.43%,,2%,65.98%,1.940886496
X Z 1/100,Love 23,Lift Leve," 3,979.63 ",Línea 1,1/21/2021,Turno 3,Erick,Jose Reyes,04:00 a. m.,6.50%,4.00,0.40,5.00,9.40,2.00%,3.00,0.00,4.60,7.60,1.76%,15.00,1.20,16.80,33.00,5.56%,,2%,64.68%,1.940886496
X Z 1/101,SPop,SPop B," 2,881.35 ",Línea 2,1/21/2021,Turno 2,Angel,Jose C.,03:00 p. m.,8.10%,6.00,0.00,10.00,16.00,3.26%,6.00,0.00,6.80,12.80,2.53%,22.00,0.80,52.80,75.60,15.40%,,4%,47.02%,4.308761176
X Z 1/101,SPop,SPop B," 2,881.35 ",Línea 2,1/21/2021,Turno 2,Angel,Omar H.,07:00 p. m.,8.80%,12.00,0.00,6.80,18.80,2.66%,10.00,0.00,8.20,18.20,6.66%,10.00,0.40,38.40,48.80,11.00%,,4%,48.93%,4.308761176
X Z 1/101,SPop,SPop B," 2,881.35 ",Línea 2,1/21/2021,Turno 2,Angel,Omar H.,09:00 p. m.,8.50%,10.00,0.00,5.00,15.00,3.20%,6.00,0.00,7.40,13.40,3.80%,14.00,0.40,43.20,57.60,12.33%,,4%,49.85%,4.308761176
X Z 1/101,SPop,SPop B," 2,881.35 ",Línea 2,1/21/2021,Turno 3,Erick,Omar H.,11:00 p. m.,7.00%,5.00,0.00,8.20,13.20,2.66%,5.00,0.00,8.40,13.40,2.90%,13.00,0.60,22.40,36.00,6.13%,,3%,56.19%,4.308761176
X Z 1/101,SPop,SPop B," 2,881.35 ",Línea 2,1/21/2021,Turno 3,Erick,Omar H.,01:00 a. m.,6.50%,8.00,0.20,7.00,15.20,2.66%,4.00,0.00,5.20,9.20,2.10%,20.00,2.00,12.00,34.00,5.00%,,3%,57.63%,4.308761176
X Z 1/101,SPop,SPop B," 2,881.35 ",Línea 2,1/21/2021,Turno 3,Erick,Omar H.,03:00 a. m.,8.30%,4.00,0.20,8.00,12.20,3.33%,9.00,0.00,10.40,19.40,4.00%,45.00,3.20,21.20,69.40,9.73%,,4%,50.15%,4.308761176
X Z 1/100,Love 12,Lift Leve," 3,979.63 ",Línea 1,1/22/2021,Turno 1,Helton,Carlos,08:35 a. m.,10.00%,6.00,1.00,11.00,18.00,3.80%,8.00,0.20,10.00,18.20,2.60%,22.00,1.40,20.00,43.40,7.46%,,4%,61.34%,1.940886496
X Z 1/100,Love 12,Lift Leve," 3,979.63 ",Línea 1,1/22/2021,Turno 1,Helton,Carlos,10:35 a. m.,13.00%,4.00,1.60,6.40,12.00,2.67%,12.00,0.10,6.00,18.10,3.40%,42.00,1.40,26.00,69.40,10.33%,,4%,72.17%,1.940886496
X Z 1/102,Love 12,DamLeve," 1,846.23 ",Línea 1,1/22/2021,Turno 1,Helton,Carlos,01:00 p. m.,15.00%,17.00,0.40,10.00,27.40,4.20%,15.00,0.80,18.00,33.80,4.80%,30.00,2.40,26.00,58.40,11.00%,,5%,66.47%,4.046457269
X Z 1/102,Love 12,DamLeve," 1,846.23 ",Línea 1,1/22/2021,Turno 2,Angel,Noel Perez,03:00 p. m.,9.60%,4.00,0.00,7.00,11.00,2.66%,4.00,0.00,4.80,8.80,1.86%,16.00,0.00,22.00,38.00,6.66%,,3%,70.21%,4.046457269
X Z 1/102,Love 12,DamLeve," 1,846.23 ",Línea 1,1/22/2021,Turno 2,Angel,Noel Perez,05:00 p. m.,8.00%,12.00,0.00,14.00,26.00,4.66%,2.00,0.00,8.80,10.80,2.60%,6.00,0.00,11.20,17.20,10.00%,,5%,41.51%,4.046457269
X Z 1/102,Love 12,DamLeve," 1,846.23 ",Línea 1,1/22/2021,Turno 2,Angel,Noel Perez,07:00 p. m.,8.80%,2.00,0.00,14.00,16.00,4.53%,10.00,0.00,6.80,16.80,2.86%,6.00,0.80,27.60,34.40,7.60%,,4%,49.78%,4.046457269
X Z 1/102,Love 12,DamLeve," 1,846.23 ",Línea 1,1/22/2021,Turno 2,Angel,Noel Perez,09:00 p. m.,10.10%,8.00,0.00,11.60,19.60,4.33%,6.00,0.00,10.00,16.00,3.40%,10.00,0.40,48.00,58.40,13.66%,,5%,50.19%,4.046457269
X Z 1/101,SPop,SPop B," 2,881.35 ",Línea 2,1/22/2021,Turno 1,Helton,Jose C.,07:00 a. m.,9.00%,7.00,0.00,3.00,10.00,3.33%,12.00,0.00,8.00,20.00,2.86%,26.00,2.00,34.00,62.00,11.33%,,4%,55.42%,4.308761176
X Z 1/101,SPop,SPop B," 2,881.35 ",Línea 2,1/22/2021,Turno 1,Helton,Jose C.,09:00 a. m.,10.00%,12.00,0.40,8.00,20.40,3.66%,10.00,0.60,9.60,20.20,3.00%,28.00,3.40,30.00,61.40,10.60%,,4%,58.11%,4.308761176
X Z 1/104,SPop,Lapa B, 982.22 ,Línea 1,1/22/2021,Turno 3,Erick,Jose Reyes,11:00 p. m.,5.20%,4.00,0.20,55.00,59.20,1.93%,5.00,0.40,6.00,11.40,2.26%,13.00,1.00,14.20,28.20,5.50%,,2%,54.43%,2.534515055
X Z 1/104,SPop,Lapa B, 982.22 ,Línea 1,1/22/2021,Turno 3,Erick,Jose Reyes,01:00 a. m.,5.80%,5.00,1.40,5.60,12.00,2.60%,3.00,0.40,4.20,7.60,1.66%,16.00,0.80,12.40,29.20,5.13%,,3%,54.86%,2.534515055
X Z 1/104,SPop,Lapa B, 982.22 ,Línea 1,1/22/2021,Turno 3,Erick,Jose Reyes,03:00 a. m.,4.00%,3.00,0.00,5.00,8.00,1.66%,3.00,0.00,4.00,7.00,1.33%,8.00,0.60,8.40,17.00,3.16%,,2%,56.81%,2.534515055
X Z 1/103,SPop,SPop B," 3,096.33 ",Línea 2,1/22/2021,Turno 1,Helton,Jose C.,11:00 a. m.,13.00%,5.00,0.00,6.00,11.00,2.40%,9.00,0.00,8.00,17.00,2.80%,36.00,0.80,18.00,54.80,8.06%,,3%,76.42%,4.180301171
X Z 1/103,SPop,SPop B," 3,096.33 ",Línea 2,1/22/2021,Turno 1,Helton,Jose C.,02:00 p. m.,6.71%,6.00,0.00,4.00,10.00,1.90%,10.00,0.00,6.00,16.00,2.00%,24.00,1.40,14.00,39.40,5.46%,,2%,66.01%,4.180301171
X Z 1/103,SPop,SPop B," 3,096.33 ",Línea 2,1/22/2021,Turno 2,Angel,Jose C.,04:00 p. m.,5.30%,4.00,1.00,10.80,15.80,3.53%,6.00,0.00,5.60,11.60,2.00%,14.00,0.00,26.00,40.00,8.00%,,4%,32.18%,4.180301171
X Z 1/103,SPop,SPop B," 3,096.33 ",Línea 2,1/22/2021,Turno 2,Angel,Jose C.,06:00 p. m.,7.50%,2.00,0.00,6.00,8.00,2.00%,6.00,0.00,6.00,12.00,2.06%,6.00,0.80,40.40,47.20,11.06%,,3%,61.05%,4.180301171
X Z 1/103,SPop,SPop B," 3,096.33 ",Línea 2,1/22/2021,Turno 2,Angel,Omar H.,08:00 p. m.,10.60%,4.00,0.00,6.80,10.80,2.40%,4.00,0.00,5.80,9.80,1.80%,8.00,0.40,42.00,50.40,11.13%,,3%,70.54%,4.180301171
X Z 1/103,SPop,SPop B," 3,096.33 ",Línea 2,1/22/2021,Turno 2,Angel,Omar H.,10:00 p. m.,9.80%,5.00,0.00,5.00,10.00,2.10%,3.00,0.00,4.80,7.80,1.00%,6.00,0.20,41.40,47.60,11.20%,,3%,72.09%,4.180301171
X Z 1/103,SPop,SPop B," 3,096.33 ",Línea 2,1/22/2021,Turno 2,Angel,Omar H.,12:00 p. m.,7.10%,5.00,3.20,9.60,17.80,3.00%,10.00,0.00,6.40,16.40,2.66%,35.00,1.60,24.20,60.80,8.93%,,4%,50.59%,4.180301171
X Z 1/103,SPop,SPop B," 3,096.33 ",Línea 2,1/22/2021,Turno 2,Angel,Omar H.,02:00 a. m.,8.10%,5.00,0.00,7.40,12.40,2.66%,6.00,0.00,6.80,12.80,2.83%,32.00,1.40,22.80,56.20,8.60%,,3%,59.30%,4.180301171
X Z 1/103,SPop,SPop B," 3,096.33 ",Línea 2,1/22/2021,Turno 2,Angel,Omar H.,04:00 a. m.,4.50%,4.00,0.60,6.00,10.60,2.00%,2.00,0.20,4.00,6.20,1.33%,20.00,0.80,16.00,36.80,6.20%,,2%,49.94%,4.180301171
X Z 1/106,SPop,SPop A," 1,749.98 ",Línea 1,1/21/2021,Turno 1,Helton,Carlos,09:00 a. m.,11.10%,8.00,1.00,8.00,17.00,3.56%,4.00,0.00,8.00,12.00,3.00%,20.00,1.00,27.00,48.00,8.00%,,4%,65.21%,2.714510673
X Z 1/106,SPop,SPop A," 1,749.98 ",Línea 1,1/21/2021,Turno 1,Helton,Carlos,11:00 a. m.,13.00%,3.00,0.20,7.00,10.20,2.33%,6.00,0.40,7.00,13.40,3.20%,16.00,0.80,19.00,35.80,5.33%,,3%,78.10%,2.714510673
X Z 1/106,SPop,SPop A," 1,749.98 ",Línea 1,1/23/2021,Turno 2,Erick,Jose Reyes,11:00 a. m.,5.70%,5.00,0.20,5.00,10.20,2.20%,2.00,0.00,4.00,6.00,1.33%,11.00,2.40,12.40,25.80,4.93%,,2%,60.43%,2.714510673
X Z 1/106,SPop,SPop A," 1,749.98 ",Línea 1,1/23/2021,Turno 2,Erick,Jose Reyes,01:00 a. m.,6.60%,8.00,0.00,8.00,16.00,3.13%,2.00,0.00,6.40,8.40,2.67%,13.00,1.80,16.00,30.80,5.80%,,3%,50.27%,2.714510673
X Z 1/104,SPop,Lapa B, 982.22 ,Línea 1,1/23/2021,Turno 2,Angel,Noel Perez,03:00 p. m.,7.10%,2.00,0.00,10.80,12.80,3.47%,2.00,0.80,8.00,10.80,2.73%,16.00,1.60,34.40,52.00,10.00%,,4%,44.54%,2.534515055
X Z 1/105,SPop,SPop B, 908.03 ,Línea 1,1/23/2021,Turno 2,Angel,Noel Perez,05:00 p. m.,9.80%,6.00,0.00,12.00,18.00,3.73%,12.00,0.00,8.80,20.80,3.33%,8.00,1.60,25.60,35.20,8.07%,,4%,58.53%,5
X Z 1/105,SPop,SPop B, 908.03 ,Línea 1,1/23/2021,Turno 2,Angel,Noel Perez,07:00 p. m.,8.10%,8.00,0.00,10.80,18.80,4.27%,2.00,0.00,11.20,13.20,4.07%,24.00,2.00,42.80,68.80,12.73%,,5%,37.46%,5
X Z 1/103,SPop,SPop B," 3,096.33 ",Línea 2,1/23/2021,Turno 1,Helton,Jose C.,07:20 a. m.,10.00%,5.00,1.00,6.00,12.00,2.40%,5.00,0.00,5.00,10.00,2.00%,12.00,1.00,18.00,31.00,6.73%,,3%,72.67%,4.180301171
X Z 1/103,SPop,SPop B," 3,096.33 ",Línea 2,1/23/2021,Turno 1,Helton,Jose C.,09:20 a. m.,10.00%,2.00,0.00,7.00,9.00,2.67%,2.00,0.00,5.00,7.00,1.67%,18.00,1.40,16.00,35.40,6.87%,,3%,71.60%,4.180301171
X Z 1/103,SPop,SPop B," 3,096.33 ",Línea 2,1/23/2021,Turno 1,Helton,Jose C.,11:20 a. m.,7.00%,6.00,0.00,6.00,12.00,2.80%,4.00,0.00,8.80,12.80,2.80%,22.00,0.00,30.00,52.00,9.00%,,3%,51.14%,4.180301171
X Z 1/108,SPop,SPop B," 3,000.00 ",Línea 2,1/23/2021,Turno 1,Helton,Jose C.,01:30 p. m.,15.00%,3.00,1.00,5.20,9.20,1.77%,6.00,0.40,12.00,18.40,4.67%,10.00,0.20,36.00,46.20,10.58%,,3%,77.49%,5.596177775
X Z 1/108,SPop,SPop B," 3,000.00 ",Línea 2,1/23/2021,Turno 2,Angel,Jose C.,03:00 p. m.,9.90%,8.00,0.40,16.80,25.20,5.40%,6.00,0.40,16.00,22.40,5.07%,28.00,0.00,65.20,93.20,19.47%,,7%,32.08%,5.596177775
X Z 1/108,SPop,SPop B," 3,000.00 ",Línea 2,1/23/2021,Turno 2,Angel,Jose C.,05:00 p. m.,7.30%,2.00,0.00,8.80,10.80,2.00%,2.00,0.00,6.00,8.00,2.00%,10.00,0.00,26.00,36.00,8.20%,,3%,64.11%,5.596177775
X Z 1/108,SPop,SPop B," 3,000.00 ",Línea 2,1/23/2021,Turno 2,Angel,Omar H.,07:00 p. m.,6.90%,2.00,0.00,4.00,6.00,1.33%,2.00,0.00,9.20,11.20,2.87%,12.00,1.20,46.00,59.20,13.07%,,3%,58.13%,5.596177775
X Z 1/108,SPop,SPop B," 3,000.00 ",Línea 2,1/23/2021,Turno 2,Angel,Omar H.,09:00 p. m.,7.50%,2.00,0.00,7.60,9.60,2.53%,2.00,0.00,8.80,10.80,3.00%,10.00,0.80,35.00,45.80,10.10%,,3%,54.61%,5.596177775
X Z 1/108,SPop,SPop B," 3,000.00 ",Línea 2,1/23/2021,Turno 2,Angel,Omar H.,11:00 p. m.,7.90%,15.00,0.20,6.40,21.60,3.13%,10.00,0.00,8.00,18.00,3.53%,22.00,0.80,15.20,38.00,6.20%,,4%,55.23%,5.596177775
X Z 1/108,SPop,SPop B," 3,000.00 ",Línea 2,1/23/2021,Turno 2,Angel,Omar H.,01:00 a. m.,7.60%,5.00,0.00,7.20,12.20,2.93%,2.00,0.00,6.20,8.20,1.90%,24.00,1.00,24.60,49.60,8.87%,,3%,57.02%,5.596177775
X Z 1/108,SPop,SPop B," 3,000.00 ",Línea 2,1/23/2021,Turno 2,Angel,Omar H.,03:00 a. m.,7.90%,4.00,0.20,4.40,8.60,2.00%,4.00,0.00,7.20,11.20,2.67%,24.00,0.80,26.00,50.80,8.80%,,3%,63.96%,5.596177775
X Z 1/107,Pau,Lapa B," 1,612.74 ",Línea 2,1/23/2021,Turno 3,Erick,Jose Reyes,04:00 a. m.,4.00%,2.00,0.80,7.20,10.00,2.60%,3.00,0.00,8.40,11.40,3.07%,23.00,0.80,16.20,40.00,6.40%,,3%,22.56%,3
X Z 1/107,Pau,Lapa B," 1,612.74 ",Línea 2,1/25/2021,Turno 1,Erick,Jose Reyes,07:00 a. m.,4.80%,7.00,0.00,7.00,14.00,2.67%,4.00,0.40,7.60,12.00,3.00%,18.00,1.80,12.20,32.00,4.97%,,3%,37.86%,3
X Z 1/107,Pau,Lapa B," 1,612.74 ",Línea 2,1/25/2021,Turno 1,Erick,Jose Reyes,09:00 a. m.,5.50%,6.00,1.20,6.60,13.80,3.00%,6.00,0.00,5.20,11.20,2.37%,21.00,1.40,14.60,37.00,6.10%,,3%,42.68%,3
X Z 1/107,Pau,Lapa B," 1,612.74 ",Línea 2,1/25/2021,Turno 1,Erick,Jose Reyes,11:00 a. m.,7.60%,3.00,0.00,5.00,8.00,2.00%,3.00,0.20,6.00,9.20,2.03%,25.00,3.80,14.80,43.60,5.87%,,2%,68.49%,3
X Z 1/108,SPop,SPop B," 3,000.00 ",Línea 1,1/25/2021,Turno 1,Erick,Omar H.,07:00 a. m.,8.30%,5.00,0.60,5.80,11.40,2.40%,8.00,0.20,7.20,15.40,2.83%,27.00,3.40,16.40,46.80,6.80%,,3%,64.49%,5.596177775
X Z 1/108,SPop,SPop B," 3,000.00 ",Línea 1,1/25/2021,Turno 1,Erick,Omar H.,09:00 a. m.,7.00%,6.00,0.40,5.60,12.00,2.27%,2.00,0.00,6.20,8.20,2.43%,20.00,2.80,18.60,41.40,7.30%,,3%,59.81%,5.596177775
X Z 1/109,Love 23,DamLeve," 1,778.79 ",Línea 1,1/25/2021,Turno 2,Erick,Jose Reyes,02:00 p. m.,5.60%,5.00,0.00,6.00,11.00,2.00%,5.00,0.00,6.00,11.00,2.67%,46.00,3.60,27.80,77.40,10.73%,,3%,45.71%,1.709804577
X Z 1/109,Love 23,DamLeve," 1,778.79 ",Línea 1,1/25/2021,Turno 2,Helton,Carlos,04:00 p. m.,8.00%,4.00,0.40,5.20,9.60,2.00%,6.00,1.40,10.00,17.40,3.67%,14.00,2.00,30.00,46.00,5.00%,,3%,66.03%,1.709804577
X Z 1/109,Love 23,DamLeve," 1,778.79 ",Línea 1,1/25/2021,Turno 2,Helton,Carlos,06:00 p. m.,10.00%,1.00,0.00,5.00,6.00,1.67%,7.00,0.20,8.00,15.20,2.40%,13.00,0.40,15.00,28.40,4.33%,,2%,78.82%,1.709804577
X Z 1/109,Love 23,DamLeve," 1,778.79 ",Línea 1,1/25/2021,Turno 2,Helton,Carlos,08:00 p. m.,10.90%,7.00,0.00,8.00,15.00,2.80%,14.00,0.00,9.00,23.00,3.60%,30.00,0.80,18.00,48.80,7.13%,,3%,68.50%,1.709804577
X Z 1/109,Love 23,DamLeve," 1,778.79 ",Línea 1,1/25/2021,Turno 2,Helton,Carlos,10:00 p. m.,13.00%,9.00,0.40,7.00,16.40,3.10%,3.00,0.00,8.00,11.00,2.67%,19.00,3.80,29.00,51.80,10.00%,,4%,71.67%,1.709804577
X Z 1/111,Love 12,SPop B," 3,674.06 ",Línea 2,1/25/2021,Turno 2,Helton,Jose C.,05:00 p. m.,10.00%,7.00,0.00,6.00,13.00,2.00%,6.00,0.00,8.00,14.00,2.66%,16.00,0.20,16.00,32.20,5.93%,,3%,74.42%,2.541570482
X Z 1/111,Love 12,SPop B," 3,674.06 ",Línea 2,1/25/2021,Turno 2,Helton,Jose C.,07:00 p. m.,10.00%,8.00,0.40,5.00,13.40,2.33%,3.00,0.40,6.00,9.40,2.67%,28.00,0.20,24.00,52.20,8.13%,,3%,70.05%,2.541570482
X Z 1/111,Love 12,SPop B," 3,674.06 ",Línea 2,1/25/2021,Turno 2,Helton,Jose C.,09:00 p. m.,8.00%,4.00,0.20,7.20,11.40,2.67%,1.00,0.00,4.00,5.00,1.33%,18.00,0.20,34.00,52.20,10.40%,,3%,61.15%,2.541570482
X Z 1/111,Love 12,SPop B," 3,674.06 ",Línea 2,1/25/2021,Turno 3,Angel,Noel Perez,11:00 p. m.,7.80%,9.00,0.00,15.00,24.00,3.20%,3.00,0.00,3.00,6.00,1.60%,9.00,0.00,14.00,23.00,4.00%,,3%,63.08%,2.541570482
X Z 1/111,Love 12,SPop B," 3,674.06 ",Línea 2,1/25/2021,Turno 3,Angel,Noel Perez,01:00 a. m.,8.10%,9.00,0.00,12.00,21.00,3.00%,2.00,0.20,4.00,6.20,1.80%,12.00,0.40,12.00,24.40,4.80%,,3%,64.44%,2.541570482
X Z 1/111,Love 12,SPop B," 3,674.06 ",Línea 2,1/25/2021,Turno 3,Angel,Noel Perez,03:00 a. m.,8.00%,6.00,0.20,10.00,16.20,2.80%,6.00,0.20,6.00,12.20,2.00%,12.00,0.20,11.20,23.40,4.00%,,3%,66.00%,2.541570482
X Z 1/111,Love 12,SPop B," 3,674.06 ",Línea 2,1/25/2021,Turno 3,Angel,Noel Perez,05:00 a. m.,9.00%,4.00,0.40,8.80,13.20,2.00%,4.00,0.40,8.00,12.40,2.20%,10.00,0.40,10.00,20.40,3.70%,,2%,75.33%,2.541570482
X Z 1/110,Love 23,Lift Leve," 2,088.94 ",Línea 1,1/25/2021,Turno 3,Angel,Jose Alberto,12:00 p. m.,8.40%,3.00,0.00,7.20,10.20,2.50%,3.00,0.00,3.00,6.00,2.00%,6.00,0.60,12.00,18.60,3.60%,,2%,70.42%,1
X Z 1/110,Love 23,Lift Leve," 2,088.94 ",Línea 1,1/25/2021,Turno 3,Angel,Jose Alberto,02:00 a. m.,8.00%,3.00,0.00,6.80,9.80,2.00%,4.00,0.20,5.40,9.60,2.80%,6.00,0.40,8.80,15.20,3.00%,,2%,71.25%,1
X Z 1/110,Love 23,Lift Leve," 2,088.94 ",Línea 1,1/25/2021,Turno 3,Angel,Jose Alberto,04:00 a. m.,9.00%,4.00,0.00,6.00,10.00,2.40%,5.00,0.20,6.00,11.20,3.00%,4.00,0.20,10.00,14.20,2.80%,,3%,71.22%,1
X Z 1/110,Love 23,DamLeve," 2,088.94 ",Línea 1,1/26/2021,Turno 1,Erick,Jose Reyes,07:00 a. m.,7.40%,6.00,0.00,5.80,11.80,2.36%,2.00,0.00,4.00,6.00,1.66%,12.00,0.40,17.80,30.20,6.00%,,3%,65.55%,1
X Z 1/110,Love 23,DamLeve," 2,088.94 ",Línea 1,1/26/2021,Turno 1,Erick,Jose Reyes,10:00 a. m.,5.90%,4.00,0.00,5.20,9.20,2.06%,3.00,0.00,4.20,7.20,1.73%,25.00,4.00,13.00,42.00,6.66%,,2%,58.69%,1
X Z 1/110,Love 23,DamLeve," 2,088.94 ",Línea 1,1/26/2021,Turno 1,Erick,Jose Reyes,12:00 p. m.,7.00%,5.00,0.40,6.20,11.60,2.43%,7.00,0.40,6.40,13.80,2.80%,30.00,1.80,16.40,48.20,7.33%,,3%,56.96%,1
X Z 1/111,Love 16,SPop B," 3,674.06 ",Línea 2,1/26/2021,Turno 1,Erick,Omar H.,07:00 a. m.,7.00%,5.00,0.20,6.00,11.20,2.33%,6.00,0.00,5.80,11.80,2.40%,22.00,2.40,16.20,40.60,6.03%,,3%,61.18%,2.541570482
X Z 1/111,Love 16,SPop B," 3,674.06 ",Línea 2,1/26/2021,Turno 1,Erick,Omar H.,09:00 a. m.,8.00%,6.00,0.40,5.00,11.40,2.00%,3.00,0.00,4.00,7.00,1.36%,14.00,0.60,17.20,31.80,5.50%,,2%,72.63%,2.541570482
X Z 1/111,Love 16,SPop B," 3,674.06 ",Línea 2,1/26/2021,Turno 1,Erick,Omar H.,01:00 p. m.,7.00%,6.00,0.20,5.20,11.40,1.80%,8.00,0.00,8.00,16.00,3.00%,25.00,0.60,20.60,46.20,7.20%,,3%,62.29%,2.541570482
X Z 1/113,Popular,Popular A," 1,902.09 ",Línea 1,1/26/2021,Turno 1,Erick,Jose Reyes,02:00 p. m.,7.50%,3.00,0.00,4.00,7.00,1.20%,3.00,0.00,5.20,8.20,1.73%,20.00,1.60,14.20,35.80,6.00%,,2%,75.83%,3.900823136
X Z 1/113,Popular,Popular A," 1,902.09 ",Línea 1,1/26/2021,Turno 2,Helton,Carlos,04:00 p. m.,7.00%,3.00,0.10,3.00,6.10,1.13%,2.00,0.00,8.00,10.00,2.00%,10.00,0.80,18.00,28.80,6.66%,,2%,72.85%,3.900823136
X Z 1/113,Popular,Popular A," 1,902.09 ",Línea 1,1/26/2021,Turno 2,Helton,Carlos,07:00 p. m.,6.00%,2.00,0.00,4.00,6.00,1.10%,4.00,0.00,7.00,11.00,1.80%,6.00,0.40,18.00,24.40,6.06%,,2%,70.48%,3.900823136
X Z 1/113,Popular,Popular A," 1,902.09 ",Línea 1,1/26/2021,Turno 2,Helton,Carlos,09:00 p. m.,5.60%,2.00,0.20,7.00,9.20,2.50%,4.00,0.40,8.00,12.40,2.60%,16.00,0.80,22.00,38.80,7.13%,,3%,46.64%,3.900823136
X Z 1/113,Popular,Popular A," 1,902.09 ",Línea 1,1/26/2021,Turno 3,Angel,Jose Alberto,11:00 p. m.,5.00%,6.00,0.40,7.20,13.60,2.53%,4.00,0.40,6.40,10.80,2.10%,2.00,0.80,23.20,26.00,6.53%,,3%,43.55%,3.900823136
X Z 1/112,Popular,Popular B," 2,932.27 ",Línea 2,1/26/2021,Turno 2,Helton,Jose C.,04:40 p. m.,6.00%,1.00,0.40,3.00,4.40,0.93%,1.00,0.00,3.00,4.00,1.00%,3.00,0.00,8.00,11.00,2.53%,,1%,81.54%,3.950708894
X Z 1/112,Popular,Popular B," 2,932.27 ",Línea 2,1/26/2021,Turno 2,Helton,Jose C.,07:00 p. m.,3.20%,3.00,0.00,4.00,7.00,0.98%,2.00,0.00,2.00,4.00,0.97%,8.00,0.00,12.00,20.00,4.40%,,1%,58.77%,3.950708894
X Z 1/112,Popular,Popular B," 2,932.27 ",Línea 2,1/26/2021,Turno 2,Helton,Jose C.,09:00 p. m.,6.00%,5.00,0.00,6.00,11.00,1.30%,1.00,0.00,3.00,4.00,1.00%,16.00,0.60,21.00,37.60,7.00%,,2%,70.08%,3.950708894
